hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-7115.209972850005,-3542.8450464499942,0.0,0.0,-38066.09993300008,-28614.64001240001,0.0,0.0
1,-7275.680009799987,-4176.2350135999895,0.0,0.0,-38147.62032120007,-29178.060010099987,0.0,0.0
2,-7258.880002800017,-4084.8799994250003,0.0,0.0,-38179.79982800006,-28445.480014799992,0.0,0.0
3,-6923.810007349988,-4123.544983824999,0.0,0.0,-38113.200011000044,-28640.879977299985,0.0,0.0
4,-7386.8450121999795,-4129.520009950002,0.0,0.0,-38375.25988260002,-29099.98013180001,0.0,0.0
5,-7344.9299993000195,-3999.0250257499874,0.0,0.0,-38979.139983400026,-28819.720033199977,0.0,0.0
6,-7842.67505074998,-4132.920015324995,0.0,18.665000000000067,-40844.61999620004,-30367.399996500033,0.0,0.0
7,-8286.996991449998,-4289.278997624997,0.0,201.75500010833338,-43593.25478706666,-31311.794661966684,0.0,534.1573332833331
8,-10990.944330462493,-4148.5896973166655,0.0,373.7693343749998,-54872.66263878335,-31804.731990599994,0.0,1558.960003266666
9,-11227.75695910833,-4439.201320508335,0.0,493.91366520833304,-61825.99853891667,-31204.69331931668,106.6853333333334,2437.4106710666747
10,-12106.436813837492,-4425.4857367583345,0.0,609.4693343041653,-60717.23428091666,-31349.588351499995,181.72533333333308,2990.946663799995
11,-12725.917759004158,-4607.9940412874985,0.0,649.0093330666679,-57252.90604554997,-31076.413035783327,161.80933333333275,3244.862656133333
12,-12205.809922354169,-4408.914250845832,0.0,610.6396640166671,-54279.63265746666,-30869.249834716647,156.79999999999987,3214.936000383338
13,-10345.154447591667,-4453.551159816665,0.0,613.6863281958343,-54205.92311558331,-31234.94015344998,40.79599999999996,2870.319997599997
14,-10272.499846462499,-4509.895630679162,0.0,517.7100016166667,-53071.265920466656,-31525.207325333326,8.480000000000002,2220.8479955499974
15,-10157.304083458332,-4435.591031200003,0.0,327.8160035083338,-52900.30313696664,-30932.853625516665,0.0,1306.7680040833359
16,-9739.265327649991,-4563.056986645835,0.0,169.8219985750003,-52577.63208806669,-31638.931858299995,0.0,315.9346666666669
17,-9772.634051062494,-4417.389992525005,0.0,0.0,-48915.42582933336,-31293.125684949984,0.0,0.0
18,-9035.865009649999,-4150.729999550004,0.0,0.0,-45005.31988020008,-31147.279975299996,0.0,0.0
19,-8391.4799938,-4430.859985224992,0.0,0.0,-43787.179980800065,-31116.020022700006,0.0,0.0
20,-7621.410008600009,-4217.540002024999,0.0,0.0,-40822.44007140006,-31127.98000180003,0.0,0.0
21,-8055.5550085500045,-4538.945006575017,0.0,0.0,-39970.1599806,-30212.539966900007,0.0,0.0
22,-6836.454986300001,-4068.2200380749905,0.0,0.0,-37450.51992720003,-27621.84660646673,0.0,0.0
23,-7089.945020950016,-3886.530035800005,0.0,0.0,-38644.939973400076,-28306.1401594,0.0,0.0
