hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-7936.6500015,-4204.74503682499,0.0,0.0,-43146.75996895003,-31005.252055420013,0.0,0.0
1,-7736.129987300006,-4658.425037375,0.0,0.0,-43001.02891798997,-30914.004981349994,0.0,0.0
2,-7853.079975050008,-4568.530061049991,0.0,0.0,-42435.82287707998,-30553.081989719994,0.0,0.0
3,-7732.340015899986,-4372.33005167499,0.0,0.0,-42425.130945259894,-30498.989031489982,0.0,0.0
4,-7606.23496159999,-4590.805046549991,0.0,0.0,-42591.69995894987,-30360.532940680012,0.0,0.0
5,-7892.968992049997,-4670.790655866671,0.0,125.64633178333375,-42806.07389307992,-30547.90073104166,0.0,231.4269333333334
6,-8272.45863966667,-4732.925997804165,0.0,280.18200004999983,-44826.69847190414,-31532.26246634416,0.0,988.8714674933333
7,-8546.540632233335,-4906.457053425006,0.0,430.50966667500023,-46005.81196396584,-31935.755971379167,51.477999999999994,1834.3289367999982
8,-10075.669327900003,-4916.866334562497,0.0,529.5146658791666,-54378.22323726584,-33594.96974961332,252.8348667641672,2610.6701393550006
9,-10829.68237014165,-5080.952337850002,1.423666666666668,632.1569994125002,-57841.638979556665,-34211.92859446334,336.23826666666685,3119.984058932503
10,-11035.754729954162,-4995.539280345832,0.0,677.628332137501,-59876.93560796167,-35383.02996834584,317.32900010000003,3519.4042003750014
11,-11917.84709285418,-4981.600310845836,0.0,668.2809990708336,-61002.06063459584,-35125.98514232751,380.66346666666703,3571.2331310024983
12,-11866.869732908333,-5067.1595920624995,0.0,674.1423322333347,-62066.259528120856,-35752.631735181654,406.60799934833324,3495.2414679308304
13,-11740.712002279171,-5097.976940820834,0.0,617.8480035583312,-62823.14611173252,-35554.00937889833,400.1729333333334,3230.840271945003
14,-12435.750951337504,-5078.263330754167,0.0,560.649000079167,-62379.686352777484,-35899.75112718916,216.61433333333315,2801.222674094164
15,-12432.625519333336,-5020.52682825,0.0,459.7793336458334,-61690.14501302416,-35784.35542393334,32.32993333333325,2143.5117349558336
16,-11817.8556797875,-5010.923849412498,0.0,354.7243347166657,-60026.57680813332,-35412.82675746334,1.3852000000000058,1286.5817970883365
17,-11236.349358958338,-5025.112323116675,0.0,166.59033459583367,-57889.57385896916,-34921.56514167,0.0,434.0541325258338
18,-10607.75371275833,-5086.010006600009,0.0,34.67066666666668,-55579.164058818336,-34214.145988060016,0.0,0.10059999999999958
19,-10250.661042833342,-5024.020024325004,0.0,0.0,-53173.886971697466,-33883.7683471333,0.0,0.0
20,-10072.974985166682,-5054.095011575002,0.0,0.0,-50321.81295847998,-33535.51909469001,0.0,0.0
21,-9373.394999187487,-4932.770000949996,0.0,0.0,-47125.10291373,-32455.93018277496,0.0,0.0
22,-8260.630003299984,-4320.750031750002,0.0,0.0,-44570.490965160105,-31680.05505141249,0.0,0.0
23,-7910.604990049993,-4258.545038199996,0.0,0.0,-43767.388074429924,-30970.75689669499,0.0,0.0
