hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-6886.4199997000005,-3885.1550259250166,0.0,0.0,-35585.184987500084,-26765.521142872483,0.0,0.0
1,-6678.140001650008,-4188.159984475005,0.0,0.0,-35560.89790638001,-27110.30926338993,0.0,0.0
2,-6664.094974450012,-4162.874986250002,0.0,0.0,-35603.618134730015,-27226.255022850033,0.0,0.0
3,-6754.519996950008,-4121.789995399997,0.0,0.0,-35583.23107181003,-27049.23094018504,0.0,0.0
4,-6986.854991300017,-4131.809996850003,0.0,0.0,-36264.51491920003,-27084.174968625044,0.0,0.0
5,-7296.815007400002,-4096.169989275001,0.0,105.86799999999997,-36327.09503145005,-27313.843471101703,0.0,188.5062666666664
6,-7389.236671116671,-4200.722332058333,0.0,252.6589991416665,-37951.60304533333,-27926.6564299725,0.0,957.6889313800004
7,-7752.260665791666,-4329.523331487506,0.0,414.0839989833329,-41483.54831217584,-27980.387517964173,0.0,1921.371126014165
8,-10913.189649216669,-4367.226657725003,0.0,548.8789991749996,-49356.57153875832,-28296.44327552084,105.58306666666661,2756.5013300483292
9,-11054.498916437486,-4256.142656491666,0.0,622.3013361916646,-54488.07435934332,-28394.683882878337,297.7843333333333,3387.165925068332
10,-10628.54319130832,-4210.431869387503,0.0,705.8656674333334,-50948.08780281918,-28716.550741535004,387.02973333333364,3773.2357880791637
11,-9803.65569235833,-4459.369593987498,0.0,716.5600000333352,-49488.60518063835,-28236.726587389167,333.2116666666665,3880.6838785758373
12,-9713.546635170824,-4344.405545366669,0.0,715.3989993083346,-48812.750772641666,-28525.507499140844,354.72366666666636,3817.6709376283316
13,-9427.042093495837,-4412.4753785124985,0.0,659.4503330249998,-49087.743319715846,-28463.297991523337,310.80726666666686,3492.8160007033334
14,-9350.732409487491,-4433.957912304164,0.0,593.2086661166663,-49915.191490104175,-28554.83571840583,292.85073333333366,2927.572336447496
15,-9472.122366708336,-4365.535576608335,0.0,445.3126663041667,-49510.804406602496,-28678.37915441417,62.452333333333485,2085.319539650002
16,-8999.180104525007,-4383.425603733333,0.0,380.20833531666756,-48978.494814627484,-28396.84564258834,0.0,1138.2267295666666
17,-8848.234265499992,-4416.036975308325,0.0,127.72866666666667,-44678.351301279945,-28247.611606970884,0.0,304.514266695
18,-8406.5449722,-4345.470010825,0.0,16.034000000000056,-41179.725057250034,-28294.87610378501,0.0,0.0
19,-8426.500017,-4320.859998225003,0.0,0.0,-40258.50000210013,-28309.953019105033,0.0,0.0
20,-7515.885009100006,-4393.170006449998,0.0,0.0,-37386.167026769996,-28169.180961335038,0.0,0.0
21,-7216.12501325001,-4276.93498872501,0.0,0.0,-36889.32097818507,-27979.50299925502,0.0,0.0
22,-6700.295006199998,-3859.615044399999,0.0,0.0,-34896.90602041011,-26036.878005505016,0.0,0.0
23,-7070.0199924500175,-3623.3650197749807,0.0,0.0,-35599.10301868,-25574.753157129962,0.0,0.0
