hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-6681.964981899992,-2562.3800206125115,0.0,0.0,-37284.09502720009,-28786.740063187503,0.0,0.0
1,-6637.644990699987,-2521.6150059625065,0.0,0.0,-36938.99198557009,-28663.054018715,0.0,0.0
2,-6711.464996900026,-2501.6700043250094,0.0,0.0,-36468.69097241001,-28624.95790310503,0.0,0.0
3,-6645.360002600004,-2544.1200226374935,0.0,0.0,-36080.96287822999,-28480.124983675014,0.0,0.0
4,-7157.430016800008,-2493.514996837507,0.0,0.0,-36300.87590665997,-28588.187995254968,0.0,0.0
5,-6646.489975149994,-2610.030004112495,0.0,0.0,-36748.43093603499,-27847.297209519955,0.0,0.0
6,-7180.964985399993,0.0,0.0,141.37566666666703,-38558.17703176991,-28186.077197594965,0.0,363.3533996358328
7,-7560.975033500007,0.0,0.0,311.2370004999999,-39839.239396705765,-28524.255308928325,0.0,1183.3536668450026
8,-8806.970330116666,0.0,0.0,464.36133340833436,-45990.0845069708,-29727.641936400836,0.9554000000000056,2038.7065979200001
9,-9692.486327237499,0.0,0.0,541.8669992208341,-50774.39687418166,-30474.269288694162,26.58273333333334,2584.571255834168
10,-10244.147312016652,0.0,0.0,588.4533343458345,-53311.389750903334,-30597.262790150005,47.21199999999993,2979.5140710758324
11,-10082.64340359583,0.0,0.0,658.146001291667,-54058.14745563915,-31263.602652949186,105.89859999999986,3134.632071055009
12,-9929.926719091662,0.0,0.0,609.2660008291665,-54535.1117693475,-30819.32580431584,87.78813333333335,2863.90360983916
13,-10426.545657987492,0.0,0.0,593.5816667083334,-55214.40695088668,-31020.419299044996,59.21120000000021,2623.9782780991645
14,-10613.944496612507,0.0,0.0,469.2103337083324,-55431.167461874174,-30992.5798727725,19.028666666666624,2121.2814727366676
15,-10472.583034099996,0.0,0.0,351.5176669458332,-55369.38045105999,-31123.15117648918,0.0,1440.6187306574989
16,-10297.082581158324,0.0,0.0,185.53399964583323,-54207.731023520006,-31196.32587216833,0.0,479.9177324858331
17,-9838.0503994,0.0,0.0,48.98266666666663,-51731.63665956836,-30919.776989949984,0.0,16.7511999999999
18,-9534.192216083331,0.0,0.0,0.0,-47903.953253941625,-30768.47699269495,0.0,0.0
19,-8891.454989799984,0.0,0.0,0.0,-44957.396352401614,-30544.16096408498,0.0,0.0
20,-8576.869992449983,-400.51000110000047,0.0,0.0,-42208.835988359926,-30434.537973529965,0.0,0.0
21,-7762.659992349989,-2798.0000265,0.0,0.0,-39809.315099149935,-30170.249038139962,0.0,0.0
22,-6866.554979299997,-2349.785004099999,0.0,0.0,-38275.32111853493,-27749.20144150081,0.0,0.0
23,-6811.3249827499785,-2564.4200077000055,0.0,0.0,-37799.911024760026,-26791.78619373494,0.0,0.0
