hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV,Pdt_NDS0_Building,P_NDS0_Building
0,-37010.23,-6760.78,0.0,0.0,-205881.35,-58887.65,0.0,0.0,-64533.6,-387201.6
1,-32161.67,-3666.52,0.0,0.0,-177211.4,-36370.05,0.0,0.0,-69244.35,-415466.1
2,-31874.08,-3487.76,0.0,0.0,-177863.95,-38241.85,0.0,0.0,-69254.55,-415527.3
3,-33537.02,-4382.29,0.0,0.0,-181279.05,-39044.5,0.0,0.0,-68628.75,-411772.5
4,-35866.25,-4881.23,0.0,0.0,-195120.9,-42114.3,0.0,0.0,-68214.2,-409285.2
5,-37914.73,-6602.24,0.0,1205.41,-202560.4,-52340.1,0.0,3144.05,-67148.15,-402888.9
6,-42314.37,-4087.94,0.0,3758.24,-215169.7,-48086.25,0.0,15963.95,-69559.05,-417354.3
7,-46300.66,-2908.75,0.0,6415.71,-259784.95,-34732.0,0.0,32025.7,-71934.05,-431604.3
8,-81565.05,-2284.99,0.0,8581.3,-385923.25,-34919.75,1762.65,45945.2,-72780.6,-436683.6
9,-89532.09,-4280.19,279.81,10022.91,-483811.9,-48922.85,4966.2,56455.8,-70719.85,-424319.1
10,-73766.21,-6530.75,637.15,10930.08,-429902.95,-59377.95,6453.2,62890.5,-69871.5,-419229.0
11,-68442.79,-1904.26,597.95,11235.04,-380550.45,-26353.55,5556.95,64680.55,-74042.75,-444256.5
12,-66543.69,-4063.9,464.19,11046.0,-381333.1,-43213.5,5915.4,63631.35,-72034.9,-432209.4
13,-67250.14,-2984.32,337.05,10251.51,-379098.5,-35356.1,5183.1,58215.1,-73171.35,-439028.1
14,-69750.9,-2473.46,330.6,8974.6,-392070.2,-36064.85,4883.2,48795.55,-73307.75,-439846.5
15,-69009.38,-4079.41,0.0,6859.5,-391863.6,-44656.15,1041.7,34759.95,-72218.95,-433313.7
16,-67476.96,-3528.4,0.0,4234.45,-381266.85,-38239.3,0.0,18972.6,-72506.45,-435038.7
17,-63873.14,-3567.08,0.0,1617.86,-311466.9,-37621.4,0.0,5077.75,-72194.85,-433169.1
18,-46802.95,-3711.41,0.0,0.0,-253423.75,-38676.6,0.0,0.0,-72150.45,-432902.7
19,-44404.25,-4419.86,0.0,0.0,-240602.35,-41459.1,0.0,0.0,-71728.4,-430370.4
20,-34402.2,-2194.48,0.0,0.0,-183944.75,-30327.7,0.0,0.0,-73192.6,-439155.6
21,-34477.17,-4048.66,0.0,0.0,-187688.6,-39191.9,0.0,0.0,-71188.35,-427130.1
22,-36362.1,-5215.81,0.0,0.0,-195706.9,-48041.4,0.0,0.0,-64317.25,-385903.5
23,-41533.59,-7943.19,0.0,0.0,-233435.0,-66362.75,0.0,0.0,-59980.15,-359880.9
