hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-121915.94,-83691.5,0.0,0.0,-719109.1,-516752.9,0.0,0.0
1,-120721.6,-84441.62,0.0,0.0,-716680.2,-515230.75,0.0,0.0
2,-119779.45,-82914.3,0.0,0.0,-707260.0,-509215.65,0.0,0.0
3,-119414.88,-82747.09,0.0,0.0,-707081.8,-508314.2,0.0,0.0
4,-119034.49,-83186.31,0.0,0.0,-709858.15,-506005.55,0.0,0.0
5,-121190.17,-82888.16,0.0,1324.11,-713430.9,-509128.85,0.0,3859.0
6,-127661.75,-84206.6,0.0,3903.51,-747108.1,-525535.3,0.0,16484.3
7,-129397.83,-87367.01,0.0,6147.33,-766760.55,-532260.3,860.0,30574.75
8,-158439.06,-90746.69,151.15,8273.5,-906300.95,-559913.15,4217.95,43514.25
9,-164638.34,-93588.8,356.24,9665.71,-964025.0,-570195.9,5606.95,52003.1
10,-168636.09,-96043.18,512.14,10455.54,-997947.25,-589715.7,5292.55,58659.55
11,-173800.47,-95750.3,589.43,10645.55,-1016698.35,-585430.25,6348.0,59523.55
12,-175265.86,-97336.72,522.79,10444.75,-1034434.0,-595874.6,6779.2,58258.4
13,-179012.25,-97413.85,353.98,9632.11,-1047049.0,-592563.95,6671.8,53849.8
14,-177516.01,-98388.6,49.4,8912.57,-1039658.2,-598326.25,3612.4,46690.45
15,-176060.14,-98012.86,0.0,7039.08,-1028166.15,-596402.95,540.45,35728.9
16,-172046.26,-97691.45,0.0,4625.95,-1000440.45,-590210.9,23.1,21446.2
17,-165941.86,-95234.1,0.0,2208.27,-964822.65,-582023.2,0.0,7237.3
18,-157282.91,-92911.69,0.0,1.39,-926317.25,-570232.25,0.0,1.85
19,-151453.58,-91753.14,0.0,0.0,-886227.7,-564726.75,0.0,0.0
20,-142528.33,-91441.18,0.0,0.0,-838693.45,-558923.4,0.0,0.0
21,-136817.29,-88257.85,0.0,0.0,-785415.1,-540929.6,0.0,0.0
22,-126028.71,-85867.49,0.0,0.0,-742838.7,-527998.5,0.0,0.0
23,-123633.64,-84318.89,0.0,0.0,-729454.0,-516175.05,0.0,0.0
