hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV,Pdt_NDS0_Building,P_NDS0_Building
0,-51405.25,-14797.0,0.0,0.0,-281594.5,-124071.5,0,0,-58806.25,-352837.5
1,-41191.75,-8660.75,0.0,0.0,-226769.5,-77277.5,0,0,-68170.25,-409021.5
2,-42216.35,-6046.1,0.0,0.0,-229649.6,-67412.6,0,0,-67779.4,-406676.4
3,-41863.1,-6403.6,0.0,0.0,-224285.6,-66414.6,0,0,-68488.4,-410930.4
4,-42983.3,-8728.55,0.0,0.0,-226971.3,-72384.3,0,0,-68768.95,-412613.7
5,-48664.15,-10777.15,0.0,0.0,-254207.9,-84884.9,0,0,-65906.85,-395441.1
6,-51789.9,-9101.65,0.0,0.0,-268606.4,-93985.4,0,0,-68689.1,-412134.6
7,-57557.25,-11024.25,0.0,2555.75,-306997.0,-102308.0,0,8906,-69925.5,-419553.0
8,-98398.7,-16359.2,0.0,5395.75,-500778.7,-116312.7,0,25985,-68960.55,-413763.3
9,-104714.85,-9312.1,0.25,7642.5,-594788.6,-84434.6,1781,40626,-72606.9,-435641.4
10,-107319.25,-9889.75,37.0,8776.5,-571044.5,-81585.5,3031,49852,-73484.25,-440905.5
11,-91817.35,-7726.35,113.5,9548.0,-501250.6,-64977.6,2699,54084,-75493.4,-452960.4
12,-82133.1,-10019.1,25.25,9483.25,-466417.1,-76244.1,2617,53585,-73040.15,-438240.9
13,-81193.1,-8539.6,0.0,8583.75,-460055.6,-77206.6,682,47842,-73895.4,-443372.4
14,-76916.8,-8356.05,0.0,7109.0,-435814.3,-76715.3,142,37017,-74783.95,-448703.7
15,-78501.0,-9241.5,0.0,4691.75,-438764.5,-72641.5,0,21783,-73817.25,-442903.5
16,-75596.25,-6936.25,0.0,1891.75,-420716.5,-71737.5,0,5268,-75929.25,-455575.5
17,-78902.9,-8986.9,0.0,0.0,-375968.4,-82264.4,0,0,-73214.1,-439284.6
18,-62269.3,-14538.55,0.0,0.0,-337190.8,-106224.8,0,0,-68815.7,-412894.2
19,-52978.4,-6404.65,0.0,0.0,-287244.4,-76057.4,0,0,-73756.6,-442539.6
20,-49858.15,-10219.9,0.0,0.0,-262137.4,-100564.4,0,0,-69705.6,-418233.6
21,-39709.2,-3569.2,0.0,0.0,-213150.7,-50523.7,0,0,-75502.55,-453015.3
22,-42131.45,-4312.2,0.0,0.0,-219031.7,-55221.7,0,0,-67523.05,-405138.3
23,-47937.1,-9386.1,0.0,0.0,-255559.6,-83245.6,0,0,-64753.4,-388520.4
