hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV,Pdt_NDS0_Building,P_NDS0_Building
0,-51865.04,-13640.6,0.0,0.0,-298803.7,-96447.5,0.0,0.0,-70050.9,-420305.4
1,-43343.9,-7063.92,0.0,0.0,-252414.0,-50964.55,0.0,0.0,-77377.7,-464266.2
2,-43741.45,-6876.3,0.0,0.0,-251032.0,-52987.65,0.0,0.0,-76038.0,-456228.0
3,-47095.73,-10427.94,0.0,0.0,-273166.9,-74399.3,0.0,0.0,-72319.15,-433914.9
4,-42631.89,-6783.71,0.0,0.0,-251442.55,-47589.95,0.0,0.0,-76402.6,-458415.6
5,-43470.62,-5168.61,0.0,1324.11,-247113.6,-42811.55,0.0,3859.0,-77719.55,-466317.3
6,-49595.85,-6140.7,0.0,3903.51,-278712.7,-57139.9,0.0,16484.3,-78065.9,-468395.4
7,-47678.23,-5647.41,0.0,6147.33,-276442.95,-41942.7,860.0,30574.75,-81719.6,-490317.6
8,-76520.76,-8828.39,151.15,8273.5,-414791.15,-68403.35,4217.95,43514.25,-81918.3,-491509.8
9,-80037.14,-8987.6,356.24,9665.71,-456417.8,-62588.7,5606.95,52003.1,-84601.2,-507607.2
10,-85987.54,-13394.62,512.14,10455.54,-502055.95,-93824.4,5292.55,58659.55,-82648.55,-495891.3
11,-91145.67,-13095.5,589.43,10645.55,-520769.55,-89501.45,6348.0,59523.55,-82654.8,-495928.8
12,-90877.76,-12948.63,522.79,10444.75,-528105.4,-89546.0,6779.2,58258.4,-84388.1,-506328.6
13,-94161.55,-12563.15,353.98,9632.11,-537944.8,-83459.75,6671.8,53849.8,-84850.7,-509104.2
14,-92890.96,-13763.55,49.4,8912.57,-531907.9,-90575.95,3612.4,46690.45,-84625.05,-507750.3
15,-92577.24,-14529.96,0.0,7039.08,-527268.75,-95505.55,540.45,35728.9,-83482.9,-500897.4
16,-88550.56,-14195.75,0.0,4625.95,-499466.25,-89236.7,23.1,21446.2,-83495.7,-500974.2
17,-82245.21,-11537.45,0.0,2208.27,-462642.75,-79843.3,0.0,7237.3,-83696.65,-502179.9
18,-72569.61,-8198.39,0.0,1.39,-418037.45,-61952.45,0.0,1.85,-84713.3,-508279.8
19,-67879.78,-8179.34,0.0,0.0,-384784.9,-63283.95,0.0,0.0,-83573.8,-501442.8
20,-58393.48,-7306.32,0.0,0.0,-333884.35,-54114.3,0.0,0.0,-84134.85,-504809.1
21,-54694.09,-6134.65,0.0,0.0,-292675.9,-48190.4,0.0,0.0,-82123.2,-492739.2
22,-54110.21,-13948.99,0.0,0.0,-311327.7,-96487.5,0.0,0.0,-71918.5,-431511.0
23,-52740.89,-13426.14,0.0,0.0,-304097.5,-90818.55,0.0,0.0,-70892.75,-425356.5
