hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-105096.51,-73977.9,0.0,0.0,-621398.3,-479776.0,0.0,0.0
1,-104211.06,-77768.05,0.0,0.0,-615647.8,-477713.05,0.0,0.0
2,-103978.29,-76879.51,0.0,0.0,-607808.85,-477079.25,0.0,0.0
3,-102518.36,-77409.64,0.0,0.0,-601345.7,-474665.45,0.0,0.0
4,-103864.1,-76728.21,0.0,0.0,-605010.3,-476467.15,0.0,0.0
5,-105868.79,-74249.75,0.0,0.0,-612470.25,-464120.1,0.0,0.0
6,-113285.9,-74834.31,0.0,2005.34,-642632.4,-469765.25,0.0,6058.8
7,-113792.21,-75920.88,0.0,4607.96,-663984.35,-475400.45,0.0,19725.45
8,-136353.88,-80629.2,0.0,6733.32,-766498.75,-495457.3,16.0,33981.8
9,-145921.57,-82288.8,0.0,8090.4,-846238.15,-507902.3,444.15,43078.0
10,-153589.61,-82460.64,0.0,8993.96,-888519.05,-509951.35,788.75,49661.2
11,-153874.15,-84502.81,49.85,9410.67,-900966.15,-521058.35,1768.75,52247.85
12,-154199.98,-83239.8,0.19,9028.86,-908915.0,-513652.6,1465.6,47735.15
13,-157213.85,-84607.75,0.0,8474.69,-920237.35,-517004.1,988.25,43736.25
14,-158997.22,-84532.46,0.0,6887.29,-923849.7,-516540.35,318.25,35357.35
15,-156606.99,-84479.09,0.0,5298.79,-922820.6,-518715.1,0.0,24013.55
16,-154774.8,-84982.26,0.0,2505.21,-903459.3,-519934.75,0.0,8001.5
17,-148130.71,-84232.52,0.0,209.51,-862189.9,-515327.2,0.0,279.35
18,-135487.75,-83647.62,0.0,0.0,-798396.5,-512804.6,0.0,0.0
19,-128842.08,-83381.55,0.0,0.0,-749286.25,-509067.3,0.0,0.0
20,-120396.56,-82727.38,0.0,0.0,-703477.6,-507238.3,0.0,0.0
21,-116796.99,-81543.19,0.0,0.0,-663485.95,-502834.85,0.0,0.0
22,-108312.86,-74264.95,0.0,0.0,-637919.85,-462485.0,0.0,0.0
23,-107042.72,-72688.69,0.0,0.0,-629997.1,-446528.05,0.0,0.0
