hour,Pdt_min_UNDS0_Building,Pdt_max_UNDS0_Building,Pdt_min_UNDS1_PV,Pdt_max_UNDS1_PV,Pmin_UNDS0_Building,Pmax_UNDS0_Building,Pmin_UNDS1_PV,Pmax_UNDS1_PV
0,-101543.83,-71294.38,0.0,0.0,-593082.95,-446089.25,0.0,0.0
1,-101406.02,-72910.88,0.0,0.0,-592677.5,-451836.15,0.0,0.0
2,-101128.62,-72742.31,0.0,0.0,-593391.25,-453769.15,0.0,0.0
3,-102165.78,-73011.04,0.0,0.0,-593051.55,-450817.0,0.0,0.0
4,-104080.45,-73095.42,0.0,0.0,-604406.1,-451399.5,0.0,0.0
5,-105062.88,-73750.39,0.0,1205.41,-605449.3,-455229.0,0.0,3144.05
6,-111873.42,-73646.99,0.0,3758.24,-632524.0,-465440.55,0.0,15963.95
7,-118234.71,-74842.8,0.0,6415.71,-691389.25,-466336.3,0.0,32025.7
8,-154345.65,-75065.59,0.0,8581.3,-822606.85,-471603.35,1762.65,45945.2
9,-160251.94,-75000.04,279.81,10022.91,-908131.0,-473241.95,4966.2,56455.8
10,-143637.71,-76402.25,637.15,10930.08,-849131.95,-478606.95,6453.2,62890.5
11,-142485.54,-75947.01,597.95,11235.04,-824806.95,-470610.05,5556.95,64680.55
12,-138578.59,-76098.8,464.19,11046.0,-813542.5,-475422.9,5915.4,63631.35
13,-140421.49,-76155.68,337.05,10251.51,-818126.6,-474384.2,5183.1,58215.1
14,-143058.65,-75781.21,330.6,8974.6,-831916.7,-475911.35,4883.2,48795.55
15,-141228.33,-76298.36,0.0,6859.5,-825177.3,-477969.85,1041.7,34759.95
16,-139983.41,-76034.85,0.0,4234.45,-816305.55,-473278.0,0.0,18972.6
17,-136067.99,-75761.92,0.0,1617.86,-744636.0,-470790.5,0.0,5077.75
18,-118953.4,-75861.86,0.0,0.0,-686326.45,-471579.3,0.0,0.0
19,-116132.65,-76148.26,0.0,0.0,-670972.75,-471829.5,0.0,0.0
20,-107594.8,-75387.08,0.0,0.0,-623100.35,-469483.3,0.0,0.0
21,-105665.52,-75237.01,0.0,0.0,-614818.7,-466322.0,0.0,0.0
22,-100679.35,-69533.06,0.0,0.0,-581610.4,-433944.9,0.0,0.0
23,-101513.74,-67923.34,0.0,0.0,-593315.9,-426243.65,0.0,0.0
